word	x	y	nearest
豆腐	-47.3556341975	-108.565410385	0.636
钱钢	-67.5778327156	-28.5132863168	0.524
课业	51.9005518668	-96.7173182895	0.612
寂寞	-73.1635399584	63.2646751137	0.520
忍俊不禁	-18.2622679253	26.766207778	0.569
搜尸	-50.3859905752	-11.87806764	0.422
瞳孔	-11.7384926755	107.857789988	0.648
年大爱	-76.015113035	9.68480168774	0.599
mohae	-35.1171784374	-53.5935522396	0.426
豆芽菜	-45.8068533852	-102.874756172	0.572
享瘦	-38.486143381	-5.19465984795	0.406
桔酱	-72.5737310677	10.0530813712	0.607
生命	-32.6114795998	27.5649727451	0.541
便会	82.6939813747	4.76839517889	0.420
央视版	-74.5412514725	-3.76868037647	0.534
心路历程	-14.8931448654	35.1434776585	0.481
一天	-17.2785904857	56.0319138274	0.483
平安	-46.4202170937	-46.5595701364	0.474
三版	-9.58964966115	-98.2735397033	0.675
读后	2.21409496692	-26.0594934033	0.429
一草一木	-20.2533877969	23.3470942899	0.553
忘忧草	-79.6200785844	52.4806167056	0.390
邪恶	-33.1803841141	2.75889078707	0.546
受先	2.13066671221	-11.5711690495	0.464
悠辉叶	-8.54864290764	7.55314022111	0.605
乡思	-74.7163216191	33.966218809	0.405
需求	37.4462674629	-12.0476134182	0.485
哪里	-39.5140408701	71.770496667	0.564
一种	59.4673802455	-19.4745323386	0.568
要花	81.4164449054	-18.8087369901	0.425
快乐	-45.5029252913	52.5282696102	0.661
西方	36.2026579898	5.18671518481	0.354
谓心	-47.0427160089	-62.6538955317	0.717
大材小用	12.4941630531	-0.149394061223	0.493
教师	47.9191167884	-89.6847967806	0.615
带	28.148361744	27.2416678387	0.537
奥斯宾	-99.5084428256	-24.9435163171	0.586
中有	75.7315198995	-29.4130038771	0.522
共同努力	22.0006838495	79.6397470378	0.558
同班	58.9607687189	-87.0889188367	0.647
床铺	28.8042293149	-19.1235200719	0.511
花花绿绿	-22.2095940736	-22.4970955263	0.464
子列	18.4959189241	-19.2668139933	0.520
遥远	-59.3651340455	26.3381394264	0.450
卫生间	28.9345120508	-22.6635952098	0.512
好日子	-64.4251193488	44.60994899	0.461
国破家亡	10.6722502997	30.715024885	0.544
该书	13.0152829154	-91.071830692	0.580
有	73.1754505744	-29.0321624125	0.584
口难开	-69.4866019699	47.045078891	0.547
vercetti	-16.1663046347	-12.0420590818	0.402
厌倦	24.0708075874	46.8418451161	0.603
撒哈拉沙漠	15.683727557	-46.6152101992	0.591
粉身碎骨	9.37202613207	20.0660980596	0.484
一本	12.641663208	-89.2763869323	0.599
唐力	-73.4196356592	-13.0806944767	0.537
巴卫	2.32065169382	6.110354448	0.415
海洋性气候	23.3286060819	-62.31578958	0.719
心痛	-71.994051064	62.4508545009	0.625
唤回	8.10865395617	19.1892577403	0.363
玩起来	14.9214952454	-1.39854867265	0.537
苍凉	-22.4562902807	44.3952009029	0.503
昭娟	-41.8733619797	30.2314969852	0.421
起轩	-3.93669057595	4.69502528062	0.593
诸如	60.4111826078	-24.0977915406	0.548
感人	-31.0675951114	86.3664175569	0.634
心情	-22.8834383666	38.2228601896	0.522
野美咲	-50.5277226958	-38.4521845592	0.561
不太	43.6599853865	-53.8977175991	0.643
小泽雄	-49.5081279337	-38.0648799146	0.565
看不起	48.0717799982	-62.2622080298	0.564
站次	-54.2978285773	-28.482017297	0.489
一点	70.5259490021	-1.38634197212	0.570
对于	71.7435121895	25.5898005515	0.663
企图	40.872658927	42.3838711448	0.620
打交	-46.7889402071	23.2577011673	0.534
以前	48.1098378406	14.6898674699	0.488
迎	-5.79610805849	-42.6584681923	0.469
决心	26.2941167893	80.9676471488	0.532
财币	-48.2490616911	-64.7763100354	0.647
国	-21.3551580254	-38.3992427057	0.527
与其	52.2642959259	-27.0719664041	0.592
少作	-11.1127655605	-86.5768765248	0.429
昂贵	46.1844041235	-35.9450300053	0.406
遭魔化	-28.1228664391	-25.8953179836	0.482
荣耀	-27.5241524141	29.5836894669	0.451
因	64.425958229	18.9653802329	0.656
心灵	-32.6474223894	27.566051742	0.498
慧眼识	-71.9610766635	0.957688513541	0.639
此次	100.793976557	-25.6615568513	0.768
书刊	-5.59651787932	-97.4693949607	0.616
冰华	3.00519709917	4.18447666938	0.415
代替	39.2955474753	-2.48487269016	0.496
诱惑	-59.1620071818	19.8093131243	0.470
接	-24.110221117	-65.9512944761	0.503
夏天	-89.9188891904	4.69576644608	0.542
潘盈	-70.9578365559	30.0060550108	0.614
有否	95.2483307687	10.0492184784	0.517
到底	-47.2983177172	74.5799623104	0.659
祝你们	-49.9611714365	37.2873344987	0.508
饼	-46.3452604277	-109.792030792	0.699
热带气候	23.3427426863	-59.626623712	0.714
怀具	-29.858754381	21.5123644288	0.579
两国	21.5710939259	81.9576346824	0.475
必须	86.7189415866	1.06007967733	0.667
两组	77.1039772206	-47.1336794133	0.535
安静	0.645922684083	25.8932856885	0.584
心绪不宁	-16.7106028317	22.9351992358	0.532
郭源元	-88.2507075095	21.5520501025	0.638
经济衰退	81.9535467422	54.6554343015	0.593
书信体	8.76158916049	-86.6843252465	0.511
琴伤	-73.3114381774	27.347883907	0.634
拘留	58.169930068	90.4281830941	0.530
追悔莫及	10.9157833665	33.1324295556	0.656
意外	34.0623453058	36.981761705	0.677
说道	-26.2722575599	75.4212048094	0.605
突然	34.0660774471	36.9826181188	0.578
使	65.0470307661	23.471621289	0.578
年底	72.3119847952	37.8959909083	0.558
宫圆	-57.883036775	-42.4342954514	0.503
想到	-21.8955615246	74.7069364119	0.629
秋去秋来	-86.3547011221	53.9013751646	0.676
无限	-53.436021662	21.7041096849	0.562
必向	-29.3474328162	18.2092619133	0.612
熊恢	-74.1450239013	-26.5153832478	0.476
做	-27.6419157551	66.8244703712	0.597
学过	52.1272284228	-82.0051341283	0.563
斗篷	-7.64604872192	106.25540949	0.608
王大年	-73.1862736817	-11.3181884804	0.531
全本	-6.31502483986	-86.6802783246	0.564
案主	28.7339530733	-33.8089613318	0.587
祝	-69.407200254	35.0287311237	0.432
令陶侃	13.6495658256	33.306683265	0.467
歌来	-50.5835611857	30.6789696252	0.432
判度	-64.3833440884	-72.547204534	0.482
借着	-31.0309241808	22.2436454117	0.599
说服	43.9506773482	43.5003590018	0.606
贤雨	-27.0434532222	-27.9708583011	0.492
负责	39.5665616758	-4.52244939244	0.491
开创	-24.5411715368	50.9468673754	0.485
无线电	7.19045183828	-57.3298396396	0.491
他花	91.9708299306	29.2396826174	0.520
关上	29.1195414591	-4.1798955306	0.625
混乱	73.6102127102	54.1022028866	0.589
感觉	16.5479287434	55.4658623263	0.633
一年	85.5109023319	29.3889815387	0.456
超过	85.6510379903	-27.4296557387	0.584
送	-10.3891484068	80.0023081172	0.450
相当	41.5104968122	-51.9347255592	0.773
文教区	-14.8227654461	-58.4504519515	0.497
信仰	-52.3753424427	95.5985979646	0.679
潮湿	19.5247369047	-60.6512482492	0.542
情绪	32.3211070193	49.823962526	0.612
分为	78.2424072903	-48.0843989433	0.781
李道烨	-56.5203238609	-14.1823781886	0.450
要	78.5428115373	-8.46213822338	0.426
霍秋娥	-21.2149193894	2.73649436413	0.457
好	-36.6544621492	40.2726654413	0.535
印满	-65.0299920034	7.11137838038	0.466
她	11.4762259665	67.7963379132	0.786
桃瑞丝	-54.1017023046	-5.3381745873	0.491
纠葛	-17.0576932882	43.4918925362	0.500
之外	68.0568997885	-28.6945966231	0.754
轻抚	-62.0868175712	58.0674295248	0.516
空者	-51.4729702196	-77.8138555747	0.700
心理	29.3928255227	-31.8642098406	0.574
志工	100.862396847	-40.6743622203	0.594
剩余	72.9402040892	-22.2880078881	0.551
同寝	0.445981855058	41.3226507947	0.495
岑科	-99.4402399628	-27.1704849748	0.589
仅	81.6793419783	-21.5256803037	0.478
小房间	28.3168329818	-16.4615132428	0.435
从	36.5728479296	9.22541972963	0.494
仍	76.3810535405	16.559285271	0.543
他	12.2521469578	67.3752859193	0.786
声称	41.2277924057	67.8779436066	0.629
片片	-77.4880221708	35.8847977056	0.476
偶尔	53.1721454147	-12.8988872014	0.703
指责	39.1927502248	66.2791409014	0.496
令	64.6960718235	22.4636311142	0.578
听见	-58.7049091551	50.9779927427	0.574
直爽	40.7616018636	-67.0089227114	0.754
拥有	45.2708551538	-10.7511190366	0.611
正感	-21.2133080814	-7.03268050886	0.603
般的	46.9504391179	-6.20648873461	0.526
巴尔干半岛	11.6424308147	-45.8359752697	0.592
人生	-74.2236422598	12.1291540103	0.666
其物	-46.7203282974	-73.4880715919	0.537
交谈	1.07347870176	70.3773318163	0.629
太想	-73.7287462835	56.3736548593	0.636
前	40.2842339912	7.98872333269	0.505
很要	-13.1923902051	48.2227048608	0.648
