word	x	y	nearest
迷惑	14.0487947529	22.6758377994	0.499
妻子	99.2017737271	-6.91187670574	0.859
夜晚	36.3293668082	-1.12546266094	0.596
潮位	-15.54066522	-41.6163004481	0.460
披上	-104.619049966	-16.7651664985	0.500
日后	-44.3315028259	5.27831648458	0.487
何许人也	18.090056145	-6.36309482804	0.574
非常高兴	-4.37922211033	39.0217862543	0.615
家中	99.0507164312	-0.30738753084	0.535
肺炎	-15.6799068945	-54.6310849066	0.616
kuroha	23.6948606955	-22.8410243105	0.524
亏损	81.447578866	-42.4517870445	0.657
北非	-63.1741565818	-65.525094383	0.617
撒哈拉	-60.5846308073	-65.0133219883	0.662
书桌	-4.16313970715	3.11769475666	0.527
交通事故	-48.7004480511	-73.3029455361	0.701
形象	24.0428986964	0.27269441259	0.543
唐晓芙	7.12468020585	-14.8995852729	0.474
之光	67.2349069839	-1.9957908998	0.510
每天	-6.22948678539	-58.6705479213	0.506
再次	-42.0866962808	0.735918167953	0.806
咋子	12.5015064317	-20.9350187049	0.526
中常	-45.1439554734	-50.4371473436	0.393
体力	-92.084660169	37.8200445178	0.558
文学	50.905061855	-57.8047084168	0.635
觉得	17.847080842	56.9399507199	0.647
同意	-51.3005637731	28.6312877746	0.577
家国	52.9543589705	-46.8008858676	0.415
识能	49.0618869768	-30.8758725419	0.574
户人村	10.4111341786	-22.0108705241	0.464
写	48.9989523911	-71.6204392115	0.572
现呈	-16.9794871784	-29.2212551997	0.615
让	-35.1534058948	36.7160658009	0.548
问	24.1640199873	60.7632414305	0.690
下个月	-1.0529940066	-16.3003946086	0.505
极度	-12.308728885	78.0042370466	0.705
收到	-83.3916684187	-38.9941415316	0.601
全部	-62.6176671044	-29.0233029608	0.590
讲	18.6843508253	-2.6876564189	0.518
再	-36.6644342983	9.13470375113	0.538
祈祷	33.8263017689	40.6249924601	0.630
短短的	-79.0076194207	-52.6341681946	0.583
出版发行	40.7397317881	-59.8121606372	0.721
救细界	36.4044175697	-12.2334394813	0.430
戈登以	14.4229420001	-26.4745124774	0.601
一九七六年	16.640329588	-34.4788223817	0.543
又	-33.7902861468	6.04815866068	0.538
自学	-12.9866407866	-72.4116236482	0.653
课业	-24.3187280758	85.9601811769	0.612
寂寞	59.9272548222	22.6576014008	0.624
实际上	-62.8215004595	16.9838514581	0.709
关怀	66.082165172	-45.8050187972	0.604
acherontia	8.48693867131	-34.0863919486	0.473
趁现在	50.7842373021	29.079757336	0.446
凉爽	-29.7555988571	-37.5987118424	0.554
大观园	24.8974771244	-34.2492622721	0.468
自身	-68.4762533226	1.54221382908	0.554
占据	-93.3646797638	-33.8265490909	0.514
生命	15.0332553484	10.3773868635	0.541
把	-32.2924897234	36.8282739771	0.671
重困	21.4807414234	-47.5383957978	0.662
心系	53.1771860646	-46.6929481167	0.415
外甥女	102.297227809	-8.76752687096	0.646
一天	39.1680400779	13.7152517012	0.483
失望	-7.75991955573	65.580960432	0.681
如同	-28.0756364908	25.5637263209	0.616
万言	23.2261252657	-44.0295302578	0.708
一草一木	7.07296008761	-6.10501875132	0.553
将近	-77.0561362753	-52.8736691741	0.536
久已	20.5358444209	-54.7184079176	0.568
段时间	-69.5018115367	-44.7131959037	0.677
朋友	6.8853108142	35.9355221644	0.648
不是	-26.6207327542	14.0505132969	0.623
获得	-48.3093387822	21.4756086406	0.648
之情	61.6630090416	43.9357973118	0.534
送给	-30.2215238614	37.2996220398	0.661
乡思	45.9896934483	6.80124302165	0.405
台北	26.6614712808	-31.7209898576	0.619
体会	14.1444317061	42.6029577785	0.516
美味	70.5898059006	-28.5574794526	0.562
哪里	35.1742020373	58.2365401414	0.564
释放	-41.4923017723	16.2547074643	0.579
是	-33.168531406	-15.1072826946	0.612
决定	-48.967303539	30.5673009097	0.539
总是	-24.542131657	78.4236276673	0.750
梁小萍	21.6044908508	-39.1442704277	0.559
写信	35.6173613263	-83.069998697	0.676
深深	47.7321487344	19.7135637068	0.628
带	-24.7766842098	35.6645762078	0.537
时间	-4.46359919094	-54.3169114778	0.622
女士	91.211984963	40.9791963261	0.663
从来	4.58891114377	40.1746224747	0.567
还要	-80.9961230249	28.7751181722	0.571
懒散	-20.1511147097	80.1571902892	0.718
孩子	96.975010502	-3.97315868488	0.683
你们	44.2068675664	50.3142870747	0.678
花花绿绿	10.9666521237	-19.4405565614	0.464
回国	-56.2045964337	58.728253821	0.774
稀奇古怪	0.774343086586	15.8478331377	0.576
信上	48.3853055593	-75.9559998115	0.491
能耐	-25.4082729983	-29.4202909812	0.545
相恋	69.2815681848	43.1059317116	0.673
有	-49.9879430689	-20.5028668139	0.584
平安	13.2112618067	-31.1073884292	0.474
尝试	-39.5902536014	22.7665350986	0.614
爱意	60.7798359268	45.1861600224	0.654
最	-70.1190899271	-5.55361812837	0.579
责任	-17.4622225135	24.0773408719	0.556
车祸	-48.7035678661	-73.2898986368	0.701
一本	47.7525282594	-65.2061549588	0.599
海洋性气候	-31.4686462077	-39.2197864358	0.719
林宸纬	14.9555780042	-21.0684179982	0.746
防御力	-92.0858705014	37.8384953839	0.558
培育	-71.3269526806	57.0607259804	0.724
路口	-11.1880304348	-94.9486231255	0.599
祈福	11.1270905143	-53.9242160794	0.469
二月	11.9135065243	-70.6381960609	0.845
雨下	44.548415676	8.22486894468	0.689
上帝	71.5956941833	53.8468234567	0.582
成名	47.1871279823	-14.4121114534	0.490
起步	-9.12862179728	-14.8383723979	0.519
教	29.4603819304	-42.6402967383	0.476
亲爱	55.9970129702	28.183660722	0.605
因此	-54.1390663082	9.45703845127	0.764
感人	41.0865408997	85.622858094	0.634
心情	25.081045099	38.924683475	0.555
赚取	-41.6938604745	29.7612745777	0.502
好像	15.9456476707	47.6612572891	0.622
目前	-67.9510897856	8.42565519201	0.505
国之常立	30.2776732154	-38.8783647195	0.578
员东	13.807464128	-23.3068468715	0.619
不要	26.347877443	55.1823644228	0.661
认知	9.16614295925	6.70953109004	0.591
所有	-62.6229303215	-29.019125679	0.590
稿纸	3.28366644232	-40.9728603288	0.619
并且	-47.258539386	2.99666397701	0.663
外	-54.3145083516	-29.3697718149	0.754
很多	-65.8083309593	-14.0150689376	0.792
打交	23.2796701463	11.9875905553	0.534
父亲	100.892338283	-4.97207864299	0.849
告诉	20.3599061568	60.3130362319	0.527
回乡	22.9127709088	-66.4465602992	0.610
我们	45.5284694643	50.2423210697	0.664
女儿	98.0406711863	-6.03142542986	0.829
提及	-61.7712797247	41.2671987862	0.739
什么	40.8154110424	54.0021579735	0.564
盯	9.91481174826	48.5601357153	0.470
张继聪合	21.9352454121	-16.9509964806	0.499
走过	55.129423778	13.7761550213	0.601
无数	-2.74041535964	16.7217158554	0.547
永恒	67.2251490084	-1.99222637419	0.510
催眠	16.8767467253	4.43540656769	0.509
彼此	-14.152571913	-81.9910095632	0.768
非常	-10.9080533528	79.4338749428	0.865
听到	-27.672632929	57.558461879	0.643
复杂	-74.94591042	-24.5906580508	0.612
时候	-28.9908938189	2.75053820974	0.539
另一方面	-58.8545891349	11.4082455145	0.615
听后	3.14141461248	60.1253202165	0.584
一针	-3.33150650815	-20.8181150641	0.557
心灵	14.2686975254	10.3407100305	0.513
慧眼识	48.1976590489	-13.3681131659	0.639
此次	-89.8162648727	-21.548269118	0.768
讶异	-6.58356716589	66.947555248	0.684
证实	-31.4271373372	55.1647343856	0.524
代替	-24.5710211905	-13.1613316086	0.496
正是	-26.4365869933	11.5450195587	0.637
召见	30.0785806498	-81.5990884813	0.528
诱惑	39.3037110184	-0.697530277149	0.470
一片	-56.530448567	-41.8386902766	0.503
接	-16.1655269708	-98.5127395719	0.503
许多	-65.2961422559	-14.8713834223	0.792
一扯	-3.52775196166	-19.9186450089	0.557
王国	18.6651047519	-24.302012012	0.683
一科生	18.6077230851	-13.0326906248	0.656
谁	41.834316565	51.8755064799	0.659
祝福	35.1890239219	35.9128752254	0.510
远方	43.1788493748	-2.18561031298	0.482
方折	0.8864235969	-35.0854132392	0.612
忍心	33.6199698396	30.9866765217	0.625
到底	41.3623790597	52.8467207474	0.659
激化	-37.6998181409	-78.2141672889	0.578
饼	60.6078136273	-31.7260620079	0.699
任何	-71.192297142	15.6776801092	0.614
恨不能	11.5183863257	-4.14389341297	0.625
深深地	1.22223297665	27.0435714801	0.557
七情六欲	33.2045479	17.2031712416	0.513
口	-15.5377064374	-98.000163295	0.599
它们	-52.2199182262	-8.16206585096	0.663
必须	-87.5455038627	22.1019480039	0.667
更深	-7.99291122421	11.1468562227	0.468
胃病	-18.7863098503	-57.1247690632	0.659
安静	19.4959053076	43.8721092152	0.584
提不出	-14.7302002756	21.2911027971	0.511
地被	-57.1060592747	12.3497233525	0.437
尤其	-67.2043657458	-4.5378361064	0.540
两颗	-20.7037757636	5.84857235813	0.706
不舍	42.3734545947	26.1507190628	0.624
巡回赛	-10.1029554487	-0.43027442556	0.442
何必	44.1242921686	34.4214611491	0.651
爱戴	30.18278739	75.6452607318	0.572
看看	33.5303587581	57.9516100207	0.595
每次	-4.18114848636	-55.6767193193	0.589
表示	-54.6844213102	36.8381314151	0.667
看似	-17.3777702706	79.957994552	0.669
使	-51.1924300242	13.9120841233	0.578
酥	61.2465677065	-29.8898912992	0.699
精神	13.1967539405	10.6218134645	0.513
崎岖	-26.4324624193	-48.2858069562	0.678
叮咛	33.2518169966	27.2358977932	0.564
想到	18.3705184723	58.4215522215	0.629
再婚	97.6941673601	-7.919626634	0.560
答应	-6.66813917529	41.5023654898	0.629
